# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: C:\Users\Abhay\Desktop\LC3.csv
# Generated on: Thu Feb 27 15:55:10 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
HEX3[2],Output,PIN_AB20,4,B4_N0,,,,,,
HEX3[1],Output,PIN_U21,5,B5_N0,,,,,,
HEX3[0],Output,PIN_V21,5,B5_N1,,,,,,
HEX4[6],Output,PIN_AE18,4,B4_N2,,,,,,
HEX4[5],Output,PIN_AF19,4,B4_N1,,,,,,
HEX4[4],Output,PIN_AE19,4,B4_N1,,,,,,
HEX4[3],Output,PIN_AH21,4,B4_N2,,,,,,
HEX4[2],Output,PIN_AG21,4,B4_N2,,,,,,
HEX4[1],Output,PIN_AA19,4,B4_N0,,,,,,
HEX4[0],Output,PIN_AB19,4,B4_N0,,,,,,
HEX5[6],Output,PIN_AH18,4,B4_N2,,,,,,
HEX5[5],Output,PIN_AF18,4,B4_N1,,,,,,
HEX5[4],Output,PIN_AG19,4,B4_N2,,,,,,
HEX5[3],Output,PIN_AH19,4,B4_N2,,,,,,
HEX5[2],Output,PIN_AB18,4,B4_N0,,,,,,
HEX5[1],Output,PIN_AC18,4,B4_N1,,,,,,
HEX5[0],Output,PIN_AD18,4,B4_N1,,,,,,
HEX6[6],Output,PIN_AC17,4,B4_N2,,,,,,
HEX6[5],Output,PIN_AA15,4,B4_N2,,,,,,
HEX6[4],Output,PIN_AB15,4,B4_N2,,,,,,
HEX6[3],Output,PIN_AB17,4,B4_N1,,,,,,
HEX6[2],Output,PIN_AA16,4,B4_N2,,,,,,
HEX6[1],Output,PIN_AB16,4,B4_N2,,,,,,
HEX6[0],Output,PIN_AA17,4,B4_N1,,,,,,
HEX7[6],Output,PIN_AA14,3,B3_N0,,,,,,
HEX7[5],Output,PIN_AG18,4,B4_N2,,,,,,
HEX7[4],Output,PIN_AF17,4,B4_N2,,,,,,
HEX7[3],Output,PIN_AH17,4,B4_N2,,,,,,
HEX7[2],Output,PIN_AG17,4,B4_N2,,,,,,
HEX7[1],Output,PIN_AE17,4,B4_N2,,,,,,
HEX7[0],Output,PIN_AD17,4,B4_N2,,,,,,
LB,Output,PIN_AD4,3,B3_N2,,,,,,
LED[11],Output,PIN_H16,7,B7_N2,,,,,,
LED[10],Output,PIN_J15,7,B7_N2,,,,,,
LED[9],Output,PIN_G17,7,B7_N1,,,,,,
LED[8],Output,PIN_J17,7,B7_N2,,,,,,
LED[7],Output,PIN_H19,7,B7_N2,,,,,,
LED[6],Output,PIN_J19,7,B7_N2,,,,,,
LED[5],Output,PIN_E18,7,B7_N1,,,,,,
LED[4],Output,PIN_F18,7,B7_N1,,,,,,
LED[3],Output,PIN_F21,7,B7_N0,,,,,,
LED[2],Output,PIN_E19,7,B7_N0,,,,,,
LED[1],Output,PIN_F19,7,B7_N0,,,,,,
LED[0],Output,PIN_G19,7,B7_N2,,,,,,
OE,Output,PIN_AD5,3,B3_N2,,,,,,
Reset,Input,PIN_M23,6,B6_N2,,,,,,
Run,Input,PIN_R24,5,B5_N0,,,,,,
S[15],Input,PIN_AA22,5,B5_N2,,,,,,
S[14],Input,PIN_AA23,5,B5_N2,,,,,,
S[13],Input,PIN_AA24,5,B5_N2,,,,,,
S[12],Input,PIN_AB23,5,B5_N2,,,,,,
S[11],Input,PIN_AB24,5,B5_N2,,,,,,
S[10],Input,PIN_AC24,5,B5_N2,,,,,,
S[9],Input,PIN_AB25,5,B5_N1,,,,,,
S[8],Input,PIN_AC25,5,B5_N2,,,,,,
S[7],Input,PIN_AB26,5,B5_N1,,,,,,
S[6],Input,PIN_AD26,5,B5_N2,,,,,,
S[5],Input,PIN_AC26,5,B5_N2,,,,,,
S[4],Input,PIN_AB27,5,B5_N1,,,,,,
S[3],Input,PIN_AD27,5,B5_N2,,,,,,
S[2],Input,PIN_AC27,5,B5_N2,,,,,,
S[1],Input,PIN_AC28,5,B5_N2,,,,,,
S[0],Input,PIN_AB28,5,B5_N1,,,,,,
UB,Output,PIN_AC4,2,B2_N2,,,,,,
WE,Output,PIN_AE8,3,B3_N1,,,,,,
